Date,Relevance,Headline,Detail (Source)
23-Mar-20,1,"In a televised address, Boris Johnson announces a UK-wide partial lockdown, to contain the spread of the virus. The British public are instructed that they must stay at home, except for certain ""very limited purposes"" – shopping for basic necessities; for ""one form of exercise a day""; for any medical need; and to travel to and from work when ""absolutely necessary"". However, when these restrictions came into force on 26 March, the statutory instrument omitted any limit on the number of exercise sessions.[123] A number of other restrictions are imposed, with police given powers to enforce the measures, including the use of fines.[124][125][126]",
23-Mar-20,0,Official UK death toll reaches 400,Later analysis of excess deaths will show that this figure is likely half the actual total.
23-Mar-20,0,"The government announces emergency measures to safeguard the nation's rail network, with season ticket holders given refunds if working from home, and rail franchise agreements nationalised for at least six months to prevent rail companies from collapsing.[120][121]",
23-Mar-20,0,"Pride in London, the UK's largest LGBT Pride festival, scheduled for 27 June, is the latest event to be postponed. It is one of a hundred pride events to be postponed or cancelled in the UK.[122]",
24-Mar-20,0,"For the first time, all of the UK's mobile networks send out a government text alert, ordering people to stay at home. The message reads: ""GOV.UK CORONAVIRUS ALERT. New rules in force now: you must stay at home. More info and exemptions at gov.uk/coronavirus Stay at home. Protect the NHS. Save lives.""[128]",
24-Mar-20,0,Government strategy slammed by scientists,"In damning testimony to a Parliamentary committee, Lancet editor Richard Horton slams the Government for failing to heed evidence of the severity of coronavirus back in January and thinking it could manage ""a controlled epidemic"". (House of Commons Science and Technology Committee)"
24-Mar-20,0,"The UK records its highest number of coronavirus deaths in one day, after a further 87 people die across the country, bringing the total to 422.[127]",
24-Mar-20,0,"Health Secretary Matt Hancock announces the government will open a temporary hospital, the NHS Nightingale Hospital at the ExCeL London, to add extra critical care capacity in response to coronavirus pandemic.[129]",
24-Mar-20,0,"The Scottish Parliament closes, with plans to reconvene on 1 April to discuss emergency legislation.[130]",
24-Mar-20,0,BBC News announces that it is delaying plans to cut 450 news jobs due to the pressure of covering the coronavirus pandemic.[131],
25-Mar-20,0,Routine dental care is suspended in England.[139][140],
25-Mar-20,0,Brexit over breathing?,"The Prime Minister is accused of putting ""Brexit over breathing"" by not joining the EU ventilator procurement scheme. When asked why the Government did not join the scheme, the PM's spokesperson replies: ""Because we're no longer members of the EU."" The European Commission confirms that the UK was indeed entitled to participate. The UK Government then changes its story, saying it hadn't taken advantage of the procurement scheme because it had missed an email due to a ""communication problem"". (Politics Home)"
25-Mar-20,0,Prince Charles tests positive for COVID-19.[132],
25-Mar-20,0,Parliament shuts down for a month.[133],
25-Mar-20,0,"British Transport Police deploys 500 officers to patrol the UK's rail network, in an effort to discourage non-essential journeys. New measures are also introduced on the London Underground to reduce passenger numbers.[134]",
25-Mar-20,0,"British diplomat Steven Dick, deputy ambassador to Hungary, dies in Budapest after contracting the virus.[135]",
25-Mar-20,0,"The police will be given the power to use ""reasonable force"" to enforce the lockdown regulations.[136]",
25-Mar-20,0,"The first two working NHS doctors die from COVID-19 on the same day, one a GP, the other a surgeon.[137]",
25-Mar-20,0,The Contingencies Fund Act 2020 receives royal assent.[138],
26-Mar-20,0,UK Government places PPE order with t-shirt and tracksuit salesman,"An Istanbul-based t-shirt salesman sees a UK Government appeal for PPE and sends an email to the Department for Health. The Government agrees to buy 400,000 gowns from him. (Telegraph)"
26-Mar-20,0,"The number of UK coronavirus deaths increases by more than 100 in a day for the first time, rising to 578, while a total of 11,568 have tested positive for the virus.[141]",
26-Mar-20,0,"The government announces that the self-employed will be paid 80% of profits, up to £2,500 a month, to help them cope during the economic crisis triggered by COVID-19.[142]",
26-Mar-20,0,"At 8pm, millions of people around the country take part in a ""Clap for Carers"" tribute, applauding the NHS and other care workers.[143]",
26-Mar-20,0,"The 2020 Isle of Wight and Download music festivals, scheduled for June, are cancelled.[144] The organisers of the Download festival subsequently announce plans to hold a virtual festival to be held on the dates it would have happened, and featuring streamed performances and interviews.[145]",
26-Mar-20,0,"The National Theatre launches National Theatre at Home, a two-month programme whereby a different production from its archives will be streamed for free each week. The project begins with Richard Bean's comedy One Man, Two Guvnors, featuring James Corden.[146]",
27-Mar-20,0,"Official UK death toll reaches 1,000",Later analysis of excess deaths will show that this figure is likely half the actual total.
27-Mar-20,0,Boris Johnson and Health Secretary Matt Hancock announce they have tested positive for coronavirus,Dominic Cummings is seen running from Downing Street shortly after the announcement. (Telegraph)
27-Mar-20,0,"The number of deaths increases by 181 from the previous day, bringing the total to 759, while 14,579 cases have been confirmed.[147]",
27-Mar-20,0,"Prime Minister Boris Johnson and Health Secretary Matt Hancock both test positive for COVID-19, Johnson will self-isolate in 10 Downing Street and Hancock is self-isolating at home whilst working.[148][149]",
27-Mar-20,0,"Labour Party MP Angela Rayner, the Shadow Secretary of State for Education, confirms she has been suffering symptoms and is self-isolating.[150]",
27-Mar-20,0,"Chief Medical Adviser Chris Whitty reports suffering from symptoms and is self-isolating, while continuing to advise the UK government.[151]",
27-Mar-20,0,"Leon Restaurants sets up the ""Feed NHS"" initiative to deliver 5,600 free meals a day to NHS critical care staff at London hospitals.[152]",
27-Mar-20,0,The 2020 Cambridge Folk Festival is cancelled.[153],
27-Mar-20,0,"Dominic Cummings, Johnson's lead adviser, drives 250 miles to Durham because ""there was nobody in London that [he] could reasonably ask to look after [his] child"".[154]",
28-Mar-20,0,Dominic Cummings drives to Durham,"Despite his wife being ill with suspected Covid-19 and himself exhibiting possible symptoms, this weekend Cummings drives his wife and child to his parents' country home in Durham, later sparking a national controversy. With the country in lockdown, the 260 mile trip from London is counter to Government rules which Cummings himself helped to write. (Telegraph)"
28-Mar-20,0,"Alister Jack, the Secretary of State for Scotland, announces that he is self-isolating after experiencing coronavirus symptoms.[155]",
28-Mar-20,0,"A further 260 deaths takes the number of fatalities past 1,000, with a total of 1,019 deaths having occurred so far; 17,089 people have tested positive.[156]",
28-Mar-20,0,"At 11pm, new regulations come into force in Northern Ireland giving authorities the power to force businesses to close, and impose fines on them if they refuse, as well as on people leaving their homes without a ""reasonable excuse"". The measures, introduced by the Northern Ireland Executive, bring Northern Ireland into line with the rest of the UK.[157][158]",
29-Mar-20,0,"Official UK death toll reaches 2,000",Later analysis of excess deaths will show that this figure is likely half the actual total.
29-Mar-20,0,"Herd immunity strategy intolerable, New Zealand PM","""There were some countries who initially talked about herd immunity as a strategy. In New Zealand we never ever considered that as a possibility, ever. Herd immunity would’ve meant tens of thousands of New Zealanders dying and I simply would not tolerate that and I don’t think any New Zealander would"" – Jacinda Ardern, Prime Minister of New Zealand. (TVNZ)"
29-Mar-20,0,"The government will send a letter to 30 million households warning things will ""get worse before they get better"" and that tighter restrictions could be implemented if necessary. The letter will also be accompanied by a leaflet setting out the government's lockdown rules along with health information.[159]",
29-Mar-20,0,"Dr Jenny Harries, England's deputy chief medical officer, suggests it could be six months before life can return to ""normal"", because social distancing measures will have to be reduced ""gradually"".[160]",
29-Mar-20,0,The first NHS nurse dies of COVID-19.[137],
30-Mar-20,0,"As the number of reported deaths rises to 1,408, Patrick Vallance, the UK's chief scientific adviser, says there are early signs social distancing measures are ""making a difference"". Transmission of the virus within the community is thought to be decreasing, and hospital admission data suggests cases are not rising as fast as anticipated.[161]",
30-Mar-20,0,Foreign Secretary Dominic Raab announces an arrangement between the government and major UK airlines to fly home tens of thousands of British nationals who are stranded abroad by the coronavirus outbreak.[162],
30-Mar-20,0,"Dominic Cummings, the Prime Minister's Chief Adviser, is reported to be self-isolating after experiencing coronavirus symptoms.[163]",
31-Mar-20,0,"A significant rise in anxiety and depression among the UK population is reported following the lockdown. The study, by researchers from the University of Sheffield and Ulster University, finds that people reporting anxiety increased from 17% to 36%, while those reporting depression increased from 16% to 38%.[164]",
31-Mar-20,0,"The number of people in hospital with COVID-19 passes 10,000.[165]",
31-Mar-20,0,"The largest UK daily death toll of the outbreak so far is reported, with 381 deaths taking the total to 1,789.[166]",
01-Apr-20,0,"Just 2,000 of 1.2 million NHS staff have been tested, the Government admits","Only 150,000 tests have been carried out across the UK. (Evening Standard)"
01-Apr-20,0,"Germany carrying out 50,000 tests per day (Financial Times)",
01-Apr-20,0,Government contacts the UK's testing industry for the first time,"The revelation comes from the British In Vitro Diagnostics Association, which represents 110 companies that make up most of the UK’s testing sector. (Financial Times)"
01-Apr-20,0,PPE crisis deepens,"PPE shortages reported in more than 30 hospital trusts, according to the British Medical Association. (Guardian)"
01-Apr-20,0,"The UK government confirms that a total of 2,000 NHS staff have been tested for coronavirus since the outbreak began, but Cabinet Office Minister Michael Gove says a shortage of chemical reagents needed for COVID-19 testing means it is not possible to screen the NHS's 1.2 million workforce.[167] Gove's statement is contradicted by the Chemical Industries Association, which says there is not a shortage of the relevant chemicals and that at a meeting with a business minister the week before the government had not tried to find out about potential supply problems.[168]",
01-Apr-20,0,"The number of deaths is confirmed to have increased by 563 to 2,362, while a total of 29,474 cases have been diagnosed, 4,324 over the previous 24 hours.[167]",
01-Apr-20,0,The contactless payment limit for in-store spending is raised from £30 to £45.[169],
01-Apr-20,0,The National Assembly for Wales reconvenes using Zoom for a virtual emergency Senedd meeting.[170],
01-Apr-20,0,Multinational pharmaceutical company Roche denies the existence of a deal to supply Wales with COVID-19 tests after First Minister Mark Drakeford and Health Minister Vaughan Gething blame the collapse of a deal for a shortage of testing kits.[171],
01-Apr-20,0,"The 2020 Edinburgh festivals, planned for August, are cancelled.[172]",
02-Apr-20,1,UK death toll now bigger than China (Daily Mail),
02-Apr-20,0,"Matt Hancock, who returns to give the daily government briefing after completing his self-isolation, sets a target of carrying out 100,000 tests a day by the end of the month (encompassing both swab tests and blood tests).[173]",
02-Apr-20,0,"The government writes off historical debts totalling £13.4bn of over 100 hospital trusts, an action which had been under consideration since before the onset of the pandemic.[174]",
02-Apr-20,0,At 8pm the UK gives another national round of applause for NHS staff and other key workers.[175],
03-Apr-20,0,"Official UK death toll reaches 4,000",Later analysis of excess deaths will show that this figure is likely half the actual total.
03-Apr-20,0,"Figures published by the Cabinet Office indicate UK road traffic levels have fallen by 73% since the lockdown measures were introduced, and are at their lowest since 1955.[177]",
03-Apr-20,0,NHS Nightingale opened,"The London hospital was built in just nine days and opened to much fanfare. In the following 17 days, however, the hospital will treat just 41 Covid-19 patients, while turning away 50 more requiring critical care largely due to a shortage of nurses. (Guardian)"
03-Apr-20,0,"NHS Nightingale Hospital London, the first temporary hospital to treat coronavirus patients, opens at the ExCel centre in East London, employing NHS staff and military personnel, with 500 beds and potential capacity for 4,000. It is the first of several such facilities planned across the UK.[176]",
03-Apr-20,0,"With warm weather forecast for some areas during the upcoming weekend, Matt Hancock warns people to stay at home, telling them this is an instruction ""not a request"".[178]",
03-Apr-20,0,The Queen holds the first virtual meeting with the Privy Council.[179],
04-Apr-20,0,"""Game changer"" antibody tests are a failure","17.5 million antibody tests ordered by the Government – which Boris Johnson described as a ""game changer"" – are found to be unreliable, failing to detect up to half of coronavirus cases. (Guardian)"
04-Apr-20,0,"The death total is reported as 4,313, having risen by 708 from the previous day's figure.[180]",
04-Apr-20,0,"It is announced that a five-year-old has died from the virus, believed to be the youngest victim to date.[181]",
04-Apr-20,0,"The results of the 2020 Labour Party leadership election and the 2020 Labour Party deputy leadership election are announced, in which Keir Starmer is elected as the leader of the Labour Party, succeeding Jeremy Corbyn, and Angela Rayner is elected as deputy leader of the party. The results are released by email after a public event to announce the results was cancelled due to the pandemic.[182]",
05-Apr-20,0,"Queen Elizabeth II makes a rare broadcast to the UK and the wider Commonwealth, something she has done on only four previous occasions. In the address she thanks people for following the government's social distancing rules, pays tribute to key workers, and says the UK ""will succeed"" in its fight against coronavirus but may have ""more still to endure"".[183][184]",
05-Apr-20,0,"Johnson admitted to hospital with ""persistent symptoms"" (CNN)",
05-Apr-20,0,Thousands of contact tracing experts unused in UK,The Government is criticised for failing to deploy thousands of contact tracing experts it has at its disposal. It will be another 11 days before ministers announce plans to restart contact tracing. (Guardian)
05-Apr-20,0,Prime Minister Boris Johnson is admitted to hospital for tests after testing positive for coronavirus ten days earlier.[185],
05-Apr-20,0,"Matt Hancock says the goal for the number of ventilators has been reduced to 18,000 and that the NHS has between 9,000 and 10,000 available.[186]",
05-Apr-20,0,"Catherine Calderwood, Scotland's chief medical officer, resigns from her post after it emerged she had been spoken to by police for visiting her second home during lockdown.[187]",
05-Apr-20,0,Manchester City football club begins a disciplinary procedure against Kyle Walker after it was reported that he broke lockdown rules by inviting two sex workers to his home.[188][189],
06-Apr-20,0,"The death toll from COVID-19 in the UK exceeds 5,000. The total number of reported cases is nearly 52,000.[190]",
06-Apr-20,0,Johnson is moved to intensive care unit as his condition worsens (BBC News),
06-Apr-20,0,Prime Minister Boris Johnson is taken into intensive care at St Thomas' Hospital. It is announced that First Secretary of State Dominic Raab will deputise for him.[191],
06-Apr-20,0,The Orange Lodge of Ireland announces that the traditional Twelfth of July parades in Northern Ireland have been cancelled for 2020.[192],
06-Apr-20,0,National Express suspends all its long-distance coach services.[193],
07-Apr-20,0,Still nowhere near enough tests being carried out in the UK,"To date, only 208,000 tests have been carried out in the UK - just one-fifth of those conducted in Germany. (Fortune)"
07-Apr-20,0,"The number of reported deaths increases by 786, taking the total to 6,159. Sir Patrick Vallance, the government's chief scientific adviser, says that the figures are not accelerating as had been predicted but that it is too early to tell whether the outbreak is peaking.[194][195]",
07-Apr-20,0,The Northern Ireland Assembly establishes a COVID-19 Response Committees.[196],
08-Apr-20,0,Dominic Cummings visits Barnard Castle,"Johnson's top adviser is spotted with his child and wife (on her birthday) visiting local beauty spot Barnard Castle. In a bizarre press conference, Cummings will later claim he had only undertaken the 60 mile round trip in order to test his eyesight. (Guardian)"
08-Apr-20,0,"A further 938 deaths are reported in the UK, taking the total to 7,097.[197]",
08-Apr-20,0,"Mark Drakeford, the First Minister of Wales, confirms the Welsh Government will extend the lockdown beyond the initial three-week period for Wales.[198]",
08-Apr-20,0,"The Resolution Foundation, using figures from the British Chambers of Commerce, reports that more than nine million workers are expected to be furloughed under the government's job retention scheme, with an estimated cost to the taxpayer of between £30 and 40bn.[199]",
09-Apr-20,0,"The number of daily recorded deaths increases by 881, taking the total to 7,978. Dominic Raab says the UK is ""starting to see the impact"" of the restrictions but it is ""too early"" to lift them, and urges people to stay indoors over the upcoming Easter weekend.[200] With warm weather forecast again for Easter, this message is echoed by police and tourist destinations.[201] Johnson was moved out of intensive care, but remained in hospital.[202]",
09-Apr-20,0,"Foreign Secretary Dominic Raab says the UK is ""starting to see the impact"" of the restrictions but that it is ""too early"" to lift them, and urges people to stay indoors over the Easter weekend.[203]",
09-Apr-20,0,"Prime Minister Boris Johnson is moved out of intensive care, but remains in hospital.[204]",
09-Apr-20,0,At 8pm the nation stages a third round of applause for NHS staff and other key workers.[205],
10-Apr-20,0,"The UK records another 980 deaths taking the total to 8,958.[206]",
10-Apr-20,0,"Jonathan Van-Tam, England's deputy chief medical officer, tells the UK Government's daily briefing the lockdown is ""beginning to pay off"" but the UK is still in a ""dangerous situation"", and although cases in London have started to drop they are still rising in Yorkshire and the North East.[207]",
10-Apr-20,0,"Matt Hancock tells the briefing a ""Herculean effort"" is being made to ensure daily deliveries of personal protective equipment (PPE) to frontline workers, including the establishment of a domestic manufacturing industry to produce the equipment. Fifteen drive-through testing centres have also been opened around the UK to test frontline workers.[208]",
10-Apr-20,0,"Beginning today, England's Care Quality Commission requires care homes to state in daily death notifications whether the death was a result of confirmed or suspected COVID-19. The CQC has not previously published statistics; the data will in future be included in weekly reports from the Office of National Statistics.[209]",
11-Apr-20,1,"The number of people in London hospitals for COVID-19 reaches its peak, according to week-on-week change data; elsewhere in the country, patient numbers continue to increase, although the rate of increase is slowing.[213]",
11-Apr-20,0,"Queen Elizabeth II makes her first ever Easter message to the nation, in which she states ""coronavirus will not overcome us"" and that ""we need Easter as much as ever.""[210]",
11-Apr-20,0,"The number of reported deaths increases by 917, taking the total to 9,875.[211]",
11-Apr-20,0,"After some NHS workers say they still do not have the correct personal protective equipment to treat patients, Home Secretary Priti Patel tells that day's Downing Street briefing she is ""sorry if people feel there have been failings"" in providing kit.[212]",
11-Apr-20,0,"Occupancy of critical care beds in England peaks at around 58% of capacity. Occupancy in the month of April for Scotland and Wales will only briefly exceed 40%, while Northern Ireland reported a peak of 51% early in the month.[214]",
12-Apr-20,0,"Official UK death toll reaches 10,000",Later analysis of excess deaths will show that this figure is likely half the actual total.
12-Apr-20,0,"The number of people who died in hospital with coronavirus in the UK passes 10,000, after a daily rise of 737 to 10,612. Matt Hancock describes it as a ""sombre day"".[216]",
12-Apr-20,0,Relief as Johnson leaves hospital (Guardian),
12-Apr-20,0,"Flights still bringing 15,000 people a day into UK without virus testing, including travellers from China, Italy & the US (The Sun)",
12-Apr-20,0,Prime Minister Boris Johnson is discharged from hospital after being treated for coronavirus and will continue his recovery at Chequers.[215],
12-Apr-20,0,The temporary Dragon's Heart Hospital opens at Cardiff's Principality Stadium to admit its first patients.[217],
13-Apr-20,0,"The number of reported deaths increases by 717 to 11,329.[218]",
13-Apr-20,0,"Dominic Raab tells the Downing Street briefing the government does not expect to make any immediate changes to the lockdown restrictions and that the UK's plan ""is working [but] we are still not past the peak of this virus"".[219]",
14-Apr-20,0,"The Office for National Statistics indicates that coronavirus was linked to one in five deaths during the week ending 3 April. More than 16,000 deaths in the UK were recorded for that week, 6,000 higher than would be the average for that time of year.[221]",
14-Apr-20,0,"The number of reported deaths increases by 778 to 12,107.[220]",
14-Apr-20,0,"Several UK charities, including Age UK and the Alzheimer's Society, express their concern that older people are being ""airbrushed"" out of official figures because they focus on hospital deaths and do not include those in care homes or a person's own home. Responding to these concerns, Therese Coffey, the Secretary of State for Work and Pensions, says that hospital figures are being used because ""it's accurate and quick"".[222]",
14-Apr-20,0,Mobile operators report a further twenty attempted arson attacks on mobile phone masts over the previous weekend.[223],
15-Apr-20,0,"The number of recorded deaths rises by 761 to 12,868.[224]",
15-Apr-20,0,Health Secretary Matt Hancock announces new guidelines that will allow close family members to see dying relatives in order to say goodbye to them. Hancock also launches a new network to provide personal protective equipment to care home staff.[225],
15-Apr-20,0,"NHS England and the Care Quality Commission begin rolling out tests for care home staff and residents as it is reported the number of care home deaths are rising but that official figures, which rely on death certificates, are not reflecting the full extent of the problem. Helen Whately, the Minister for Social Care, says that the government are aware the figures are being understated.[226]",
15-Apr-20,0,"Arlene Foster, the First Minister of Northern Ireland, extends the period of lockdown in Northern Ireland to 9 May.[227]",
15-Apr-20,0,"The 2020 Love Supreme Jazz Festival, scheduled for July, is cancelled.[228]",
16-Apr-20,1,"Foreign Secretary Dominic Raab announces a three-week extension to the nationwide lockdown measures as the number of confirmed COVID-19 cases in the UK surpasses 100,000.[232]",
16-Apr-20,0,"""I would love to be able to wave a magic wand and have PPE fall from the sky” – Health Secretary Matt Hancock",The UK has now missed at least four opportunities to join the EU's joint PPE procurement scheme. (BBC News)
16-Apr-20,0,"The number of recorded deaths increases by 861 to 13,729.[229]",
16-Apr-20,0,"A 99-year-old war veteran, Tom Moore, completes 100 laps of his garden,[230] eventually raising over £25 million for NHS Charities Together, with over a million people donating via his JustGiving page.[231]",
16-Apr-20,0,"The NHS Nightingale Hospital Birmingham, at the National Exhibition Centre, is officially opened by Prince William.[233]",
16-Apr-20,0,The UK stages a fourth round of applause for NHS staff and key workers at 8pm.[234],
16-Apr-20,0,"A spokesperson for Princess Beatrice of York and Edoardo Mapelli Mozzi confirms that their wedding, scheduled for 29 May, will be held on a later date.[235]",
17-Apr-20,0,Government's ventilator plan falls apart,Ministers' call for UK manufacturers to embody the 'Blitz spirit' and shift their manufacturing capacity to ventilators has largely been a tactical misstep. A lack of clarity over what was needed saw the majority of non-specialist manufacturers trying to 'reinvent the wheel' and submit prototypes for ventilators which are unsuitable for treating Covid-19 patients. (Financial Times)
17-Apr-20,0,"Government announces that the 400,000 gowns are due to arrive from Turkey the following day",The gowns do not arrive. (BBC News)
17-Apr-20,0,"The number of recorded deaths rises by 847 taking the total to 14,576.[236]",
17-Apr-20,0,"Matt Hancock confirms coronavirus tests will be rolled out to cover more public service staff such as police officers, firefighters and prison staff.[237]",
17-Apr-20,0,"Chancellor Rishi Sunak extends the subsidised wage scheme for furloughed workers for another month, to the end of June.[238]",
17-Apr-20,0,"Later analysis of death registrations (all causes) in England and Wales by the Office for National Statistics finds the highest total this week, which at 21,805 is 207% of the five-year average for the same week. COVID-19 is mentioned in 8,730 cases.[239]",
18-Apr-20,0,"Care England, the UK's largest care homes representative body, estimates that as many as 7,500 care home residents may have died because of coronavirus, compared to the official figure of 1,400 released a few days earlier.[241]",
18-Apr-20,0,"Personal protective equipment is running out, Government admits (Guardian)",
18-Apr-20,0,"Imran Ahmad-Khan, the MP for Wakefield, secures a shipment of 110,000 reusable face masks through his connections with charity Solidarités international and the Vietnamese Government for Mid Yorkshire Hospitals NHS Trust to help tackle the shortage of PPE.[240]",
18-Apr-20,0,Unions representing doctors and nurses express their concern at a change in government guidelines advising medics to reuse gowns or wear other kit if stocks run low.[241],
18-Apr-20,0,"Speaking at the Downing Street daily briefing, Robert Jenrick, the Communities Secretary, says a further 400,000 gowns will be arriving from Turkey the following day.[242] (In the event, the shipment was delayed by several days,[243] and was said on 7 May to be unusable).[244]",
18-Apr-20,0,"The number of recorded deaths rises by 888 to 15,464.[245]",
18-Apr-20,0,"Jenrick announces a further £1.6bn of support for local authorities, on top of £1.6bn that was given to them on 19 March.[246]",
18-Apr-20,0,"Jenrick says that the virus appears to be having a ""disproportionate impact"" on the Black, Asian and minority ethnic (BAME) communities, while Stephen Powis says he has asked Public Health England to investigate what may be accounting for the increased risk within these groups.[246]",
18-Apr-20,0,Jenrick says that parks and cemeteries must remain open during the lockdown.[247],
19-Apr-20,0,"Frontline staff left exposed as 400,000 promised gowns do not arrive",
19-Apr-20,0,Government has failed to secure promised PPE,"The Government has failed to secure 16 million face masks for the NHS in the past month, it is revealed, as manufacturers' offers of help were repeatedly met with silence. Instead, millions of pieces of PPE are being shipped from the UK to Europe. (Telegraph)"
19-Apr-20,0,"The number of recorded deaths increases by 596 to 16,060, a lower increase than previous days. Dr Jenny Harries says the lower number of deaths is ""very good news"" but cautions against drawing conclusions from the figures.[248]",
19-Apr-20,0,"After a Sunday Times article suggests schools could reopen on 11 May, Gavin Williamson, the Secretary of State for Education, tells the Downing Street daily briefing he cannot give a date for when this will happen, and that the focus will be on helping children to learn at home, with lessons made available online and free loans of laptops for disadvantaged children.[248]",
19-Apr-20,0,"BBC One airs a UK version of the Together at Home concert, a virtual global concert staged to celebrate healthcare workers and featuring musicians playing from home. The two-hour broadcast includes highlights of the US version and features stories of frontline workers along with extra footage of British artists.[249][250]",
20-Apr-20,0,"To protect bus drivers, Transport for London puts buses' front doors out of use, requiring passengers to board through the middle doors. Passengers are no longer required to pay, so that they do not need to use the card reader near the driver.[251]",
20-Apr-20,0,"Online applications for the Coronavirus Job Retention Scheme are opened, with 67,000 claims registered in the first 30 minutes.[252]",
20-Apr-20,0,NHS Blood and Transplant asks those who have survived COVID-19 to donate blood for trials of a treatment that will involve giving the blood plasma of survivors to patients ill in hospital with the disease.[253],
20-Apr-20,0,"The number of recorded deaths rises by 449, taking the total to 16,509, but Prof Dame Angela Maclean, the UK's deputy chief scientific adviser, says the number of confirmed cases is ""flattening out"".[254] The number of people in hospital for COVID-19 has begun to fall in Scotland, Wales and every region of England, with significant falls in London and the Midlands.[255]",
21-Apr-20,0,"True UK death toll revealed: over 40,000","UK coronavirus deaths are more than double the official figure, it is revealed. With the Government tally of 17,337 deaths only counting those who died in hospital after testing positive for Covid-19, a Financial Times analysis of 'excess deaths' based on Office for National Statistics data shows that the true number of coronavirus deaths is around 41,000. (Financial Times)"
21-Apr-20,0,80 frontline health workers have died from coronavirus,"Calls grow for an inquiry into the ""grotesque"" failure to provide adequate protective gear to frontline staff, following the news that 80 health and social care staff have died from Covid-19. They are disproportionately from the BAME community. (Politics Home)"
21-Apr-20,0,Death toll surges in area around Cheltenham Racecourse,"Gloucestershire hospitals NHS trust, which covers Cheltenham, has now recorded 125 deaths, roughly double that of two nearby trusts in Bristol (58 each), and those covering Swindon (67) and Bath (46). (Guardian)"
21-Apr-20,0,"A further 823 deaths are recorded, taking the total to 17,337, a sharp rise on the previous day, but many of these relate to deaths that occurred in previous days and weeks, and some date back as far as March. Prof Sir David Spiegelhalter, of the University of Cambridge, says the figures suggest the UK is past the peak and in a ""steadily"" albeit slowly improving position.[256][257]",
21-Apr-20,0,"Figures released by the Office for National Statistics indicate deaths in England and Wales have reached a twenty year high, with 18,500 deaths from all causes in the week up to 10 April, about 8,000 more than the average for that time of year.[256] The deaths include those in care homes, where the 1,043 year-to-date deaths related to COVID-19 is a jump from the 217 reported a week ago.[258]",
21-Apr-20,0,"Matt Hancock says the government is ""throwing everything"" at developing a vaccine as he announces £42.5m for clinical trials being conducted by Imperial College London and the University of Oxford.[259]",
21-Apr-20,0,Parliament reconvenes after the Easter recess with MPs approving a new arrangement with some in the House of Commons chamber and some attending via video link.[260],
21-Apr-20,0,Fundraiser Captain Tom Moore is the guest of honour at the opening of NHS Nightingale Hospital Yorkshire and the Humber in Harrogate.[261],
22-Apr-20,0,PPE from Turkey finally arrives – but only 1 in 10 gowns is delivered,"Just 32,000 of the expected 400,000 gowns arrive in Britain. It is only enough to last a few hours on the coronavirus frontline. (Health Service Journal)"
22-Apr-20,0,Contact tracing to restart,"The Government announces it is training an 'army' of 15,000 tracers within the next three weeks, resuming a policy it scrapped in early March, finally mimicking the 'test, trace, isolate' strategy which has proven effective in South Korea, where Covid-19 deaths have remained under 250, despite a similar-sized population to the UK. (Times)"
22-Apr-20,0,"Figures show that UK inflation fell to 1.5% in March, largely because of falls in the price of clothing and fuel ahead of the lockdown.[262]",
22-Apr-20,0,"Parliament holds the first virtual Prime Minister's Questions with Dominic Raab standing in for Boris Johnson, at which Raab confirms the target of 100,000 tests a day by the end of the month.[263]",
22-Apr-20,0,"The number of recorded deaths rises by 759 to 18,100.[263]",
22-Apr-20,0,"In a Commons statement Matt Hancock tells MPs ""we are at the peak"" of the outbreak but social distancing measures cannot be relaxed until the government's five tests have been met.[264] Professor Chris Whitty, the government's chief medical adviser, tells the Downing Street briefing the UK will have to live with some social distancing measures for at least the rest of the year, and that it is ""wholly unrealistic"" to expect life to suddenly return to normal in the short term.[265]",
22-Apr-20,0,Doctors in Wales have written a joint letter to First Minister Mark Drakeford urging him to ban the use of second homes during the outbreak.[266],
23-Apr-20,0,Government announces testing kit website for key workers,"The initiative will make it ""easier, faster, and simpler for any essential worker in England, who needs a test, to get a test,"" says Health Secretary Matt Hancock. (ITV News)"
23-Apr-20,0,Testing kit website for key workers runs out within minutes of launch,"Website for home testing kits made available to 10 million key workers runs out within minutes of opening as only 5,000 kits are made available for the first day. (Bloomberg)"
23-Apr-20,0,"The number of recorded deaths increases by 616 to 18,738.[267]",
23-Apr-20,0,The first human trials of a coronavirus vaccine in Europe begin in Oxford.[268],
23-Apr-20,0,"A study involving 20,000 households in England, coordinated by the Office for National Statistics, will track the progress of COVID-19 and seek to better understand infection and immunity levels, with volunteers asked to provide nose and throat swabs on a regular basis to determine whether they have the virus.[269]",
23-Apr-20,0,"Matt Hancock states that daily test capacity has reached 51,000, and announces that all key workers and members of their households are now eligible for COVID-19 tests and will be able to book tests through the government website from the following day.[270] Tests will be conducted at drive-through centres or using home testing kits,[271] while mobile testing units operated by the armed forces would increase in number from the present eight to 92, with a further four operated by civilians in Northern Ireland.[272]",
23-Apr-20,0,"Hancock also announces preparations to reactivate contact tracing in a later phase of the outbreak, including the recruitment of 18,000 contact tracers to greatly supplement Public Health England's staff.[270]",
23-Apr-20,0,"As the Scottish Government publishes details of a strategy for ending lockdown, Nicola Sturgeon, the First Minister of Scotland, says the lifting of restrictions in Scotland is ""likely to be phased"" with some measures remaining in place until 2021 ""and beyond"".[273]",
